CustomerID,CustomerName,Region
C001,Customer 1,Ontario
C002,Customer 2,Ontario
C003,Customer 3,British Columbia
C004,Customer 4,Quebec
C005,Customer 5,Quebec
C006,Customer 6,Quebec
C007,Customer 7,Ontario
C008,Customer 8,Manitoba
C009,Customer 9,Ontario
C010,Customer 10,Manitoba
C011,Customer 11,Alberta
C012,Customer 12,Ontario
C013,Customer 13,Ontario
C014,Customer 14,Ontario
C015,Customer 15,Quebec
C016,Customer 16,Quebec
C017,Customer 17,Manitoba
C018,Customer 18,Manitoba
C019,Customer 19,Ontario
C020,Customer 20,Manitoba
C021,Customer 21,Quebec
C022,Customer 22,Manitoba
C023,Customer 23,Alberta
C024,Customer 24,Quebec
C025,Customer 25,Alberta
